------------------------ PARSE TREE (TABLE FORMAT) ------------------------

lexeme               lineno   tokenName          valueIfNumber   parentNodeSymbol       isLeaf   NodeSymbol            
----------------------------------------------------------------------------------------------
_unionfunction       4        TK_FUNID           ----            <function>             yes      ----                  
----                 -1       ----               ----            <otherFunctions>       no       <function>            
input                4        TK_INPUT           ----            <input_par>            yes      ----                  
----                 -1       ----               ----            <function>             no       <input_par>           
parameter            4        TK_PARAMETER       ----            <input_par>            yes      ----                  
list                 4        TK_LIST            ----            <input_par>            yes      ----                  
[                    4        TK_SQL             ----            <input_par>            yes      ----                  
record               4        TK_RECORD          ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <dataType>             no       <constructedDatatype> 
#two                 4        TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <parameter_list>       no       <dataType>            
----                 -1       ----               ----            <input_par>            no       <parameter_list>      
d5cc34               4        TK_ID              ----            <parameter_list>       yes      ----                  
,                    4        TK_COMMA           ----            <remaining_list>       yes      ----                  
----                 -1       ----               ----            <parameter_list>       no       <remaining_list>      
#point               4        TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <dataType>             no       <constructedDatatype> 
----                 -1       ----               ----            <parameter_list>       no       <dataType>            
----                 -1       ----               ----            <remaining_list>       no       <parameter_list>      
b5c6                 4        TK_ID              ----            <parameter_list>       yes      ----                  
----                 -1       EPS                ----            <remaining_list>       yes      ----                  
----                 -1       ----               ----            <parameter_list>       no       <remaining_list>      
]                    4        TK_SQR             ----            <input_par>            yes      ----                  
output               5        TK_OUTPUT          ----            <output_par>           yes      ----                  
----                 -1       ----               ----            <function>             no       <output_par>          
parameter            5        TK_PARAMETER       ----            <output_par>           yes      ----                  
list                 5        TK_LIST            ----            <output_par>           yes      ----                  
[                    5        TK_SQL             ----            <output_par>           yes      ----                  
real                 5        TK_REAL            ----            <primitiveDatatype>    yes      ----                  
----                 -1       ----               ----            <dataType>             no       <primitiveDatatype>   
----                 -1       ----               ----            <parameter_list>       no       <dataType>            
----                 -1       ----               ----            <output_par>           no       <parameter_list>      
d3                   5        TK_ID              ----            <parameter_list>       yes      ----                  
----                 -1       EPS                ----            <remaining_list>       yes      ----                  
----                 -1       ----               ----            <parameter_list>       no       <remaining_list>      
]                    5        TK_SQR             ----            <output_par>           yes      ----                  
;                    5        TK_SEM             ----            <function>             yes      ----                  
record               7        TK_RECORD          ----            <typeDefinition>       yes      ----                  
----                 -1       ----               ----            <actualOrRedefined>    no       <typeDefinition>      
#two                 7        TK_RUID            ----            <typeDefinition>       yes      ----                  
type                 8        TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <fieldDefinition>     
#point               8        TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <constructedDatatype> 
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    8        TK_COLON           ----            <fieldDefinition>      yes      ----                  
beginpoint           8        TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    8        TK_SEM             ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <typeDefinition>       no       <fieldDefinitions>    
type                 9        TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <fieldDefinition>     
#point               9        TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <constructedDatatype> 
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    9        TK_COLON           ----            <fieldDefinition>      yes      ----                  
endpoint             9        TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    9        TK_SEM             ----            <fieldDefinition>      yes      ----                  
----                 -1       EPS                ----            <moreFields>           yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <moreFields>          
endrecord            10       TK_ENDRECORD       ----            <typeDefinition>       yes      ----                  
----                 -1       ----               ----            <typeDefinitions>      no       <actualOrRedefined>   
----                 -1       ----               ----            <stmts>                no       <typeDefinitions>     
----                 -1       EPS                ----            <typeDefinitions>      yes      ----                  
----                 -1       ----               ----            <typeDefinitions>      no       <typeDefinitions>     
----                 -1       ----               ----            <function>             no       <stmts>               
type                 13       TK_TYPE            ----            <declaration>          yes      ----                  
----                 -1       ----               ----            <declarations>         no       <declaration>         
record               13       TK_RECORD          ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <dataType>             no       <constructedDatatype> 
#two                 13       TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <declaration>          no       <dataType>            
:                    13       TK_COLON           ----            <declaration>          yes      ----                  
b5b567               13       TK_ID              ----            <declaration>          yes      ----                  
----                 -1       EPS                ----            <global_or_not>        yes      ----                  
----                 -1       ----               ----            <declaration>          no       <global_or_not>       
;                    13       TK_SEM             ----            <declaration>          yes      ----                  
----                 -1       ----               ----            <stmts>                no       <declarations>        
type                 14       TK_TYPE            ----            <declaration>          yes      ----                  
----                 -1       ----               ----            <declarations>         no       <declaration>         
record               14       TK_RECORD          ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <dataType>             no       <constructedDatatype> 
#one                 14       TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <declaration>          no       <dataType>            
:                    14       TK_COLON           ----            <declaration>          yes      ----                  
b3                   14       TK_ID              ----            <declaration>          yes      ----                  
----                 -1       EPS                ----            <global_or_not>        yes      ----                  
----                 -1       ----               ----            <declaration>          no       <global_or_not>       
;                    14       TK_SEM             ----            <declaration>          yes      ----                  
----                 -1       ----               ----            <declarations>         no       <declarations>        
type                 15       TK_TYPE            ----            <declaration>          yes      ----                  
----                 -1       ----               ----            <declarations>         no       <declaration>         
#point               15       TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <dataType>             no       <constructedDatatype> 
----                 -1       ----               ----            <declaration>          no       <dataType>            
:                    15       TK_COLON           ----            <declaration>          yes      ----                  
d5                   15       TK_ID              ----            <declaration>          yes      ----                  
----                 -1       EPS                ----            <global_or_not>        yes      ----                  
----                 -1       ----               ----            <declaration>          no       <global_or_not>       
;                    15       TK_SEM             ----            <declaration>          yes      ----                  
----                 -1       ----               ----            <declarations>         no       <declarations>        
----                 -1       EPS                ----            <declarations>         yes      ----                  
----                 -1       ----               ----            <declarations>         no       <declarations>        
b5b567               16       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <assignmentStmt>       no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <stmt>                 no       <assignmentStmt>      
<---                 16       TK_ASSIGNOP        ----            <assignmentStmt>       yes      ----                  
c6                   16       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <var>                  no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <factor>               no       <var>                 
----                 -1       ----               ----            <term>                 no       <factor>              
----                 -1       ----               ----            <arithmeticExpression> no       <term>                
*                    16       TK_MUL             ----            <highPrecedenceOperators> yes      ----                  
----                 -1       ----               ----            <termPrime>            no       <highPrecedenceOperators>
----                 -1       ----               ----            <term>                 no       <termPrime>           
2                    16       TK_NUM             2               <var>                  yes      ----                  
----                 -1       ----               ----            <factor>               no       <var>                 
----                 -1       ----               ----            <termPrime>            no       <factor>              
----                 -1       EPS                ----            <termPrime>            yes      ----                  
----                 -1       ----               ----            <termPrime>            no       <termPrime>           
----                 -1       ----               ----            <assignmentStmt>       no       <arithmeticExpression>
----                 -1       EPS                ----            <expPrime>             yes      ----                  
----                 -1       ----               ----            <arithmeticExpression> no       <expPrime>            
;                    16       TK_SEM             ----            <assignmentStmt>       yes      ----                  
----                 -1       ----               ----            <otherStmts>           no       <stmt>                
----                 -1       ----               ----            <stmts>                no       <otherStmts>          
b3                   17       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <assignmentStmt>       no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <stmt>                 no       <assignmentStmt>      
<---                 17       TK_ASSIGNOP        ----            <assignmentStmt>       yes      ----                  
c6                   17       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <var>                  no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <factor>               no       <var>                 
----                 -1       ----               ----            <term>                 no       <factor>              
----                 -1       ----               ----            <arithmeticExpression> no       <term>                
----                 -1       EPS                ----            <termPrime>            yes      ----                  
----                 -1       ----               ----            <term>                 no       <termPrime>           
----                 -1       ----               ----            <assignmentStmt>       no       <arithmeticExpression>
-                    17       TK_MINUS           ----            <lowPrecedenceOperators> yes      ----                  
----                 -1       ----               ----            <expPrime>             no       <lowPrecedenceOperators>
----                 -1       ----               ----            <arithmeticExpression> no       <expPrime>            
c3                   17       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <var>                  no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <factor>               no       <var>                 
----                 -1       ----               ----            <term>                 no       <factor>              
----                 -1       ----               ----            <expPrime>             no       <term>                
----                 -1       EPS                ----            <termPrime>            yes      ----                  
----                 -1       ----               ----            <term>                 no       <termPrime>           
----                 -1       EPS                ----            <expPrime>             yes      ----                  
----                 -1       ----               ----            <expPrime>             no       <expPrime>            
;                    17       TK_SEM             ----            <assignmentStmt>       yes      ----                  
----                 -1       ----               ----            <otherStmts>           no       <stmt>                
----                 -1       ----               ----            <otherStmts>           no       <otherStmts>          
while                18       TK_WHILE           ----            <iterativeStmt>        yes      ----                  
----                 -1       ----               ----            <stmt>                 no       <iterativeStmt>       
(                    18       TK_OP              ----            <iterativeStmt>        yes      ----                  
b5b567               18       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <var>                  no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <booleanExpression>    no       <var>                 
----                 -1       ----               ----            <iterativeStmt>        no       <booleanExpression>   
<=                   18       TK_LE              ----            <relationalOp>         yes      ----                  
----                 -1       ----               ----            <booleanExpression>    no       <relationalOp>        
d5cc34               18       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <var>                  no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <booleanExpression>    no       <var>                 
)                    18       TK_CL              ----            <iterativeStmt>        yes      ----                  
read                 19       TK_READ            ----            <ioStmt>               yes      ----                  
----                 -1       ----               ----            <stmt>                 no       <ioStmt>              
(                    19       TK_OP              ----            <ioStmt>               yes      ----                  
c3bd                 19       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <ioStmt>               no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
)                    19       TK_CL              ----            <ioStmt>               yes      ----                  
;                    19       TK_SEM             ----            <ioStmt>               yes      ----                  
----                 -1       ----               ----            <iterativeStmt>        no       <stmt>                
d3                   20       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <assignmentStmt>       no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <stmt>                 no       <assignmentStmt>      
<---                 20       TK_ASSIGNOP        ----            <assignmentStmt>       yes      ----                  
d3                   20       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <var>                  no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <factor>               no       <var>                 
----                 -1       ----               ----            <term>                 no       <factor>              
----                 -1       ----               ----            <arithmeticExpression> no       <term>                
----                 -1       EPS                ----            <termPrime>            yes      ----                  
----                 -1       ----               ----            <term>                 no       <termPrime>           
----                 -1       ----               ----            <assignmentStmt>       no       <arithmeticExpression>
+                    20       TK_PLUS            ----            <lowPrecedenceOperators> yes      ----                  
----                 -1       ----               ----            <expPrime>             no       <lowPrecedenceOperators>
----                 -1       ----               ----            <arithmeticExpression> no       <expPrime>            
c3bd                 20       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <var>                  no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <factor>               no       <var>                 
----                 -1       ----               ----            <term>                 no       <factor>              
----                 -1       ----               ----            <expPrime>             no       <term>                
----                 -1       EPS                ----            <termPrime>            yes      ----                  
----                 -1       ----               ----            <term>                 no       <termPrime>           
----                 -1       EPS                ----            <expPrime>             yes      ----                  
----                 -1       ----               ----            <expPrime>             no       <expPrime>            
;                    20       TK_SEM             ----            <assignmentStmt>       yes      ----                  
----                 -1       ----               ----            <otherStmts>           no       <stmt>                
----                 -1       ----               ----            <iterativeStmt>        no       <otherStmts>          
b5b567               21       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <assignmentStmt>       no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <stmt>                 no       <assignmentStmt>      
<---                 21       TK_ASSIGNOP        ----            <assignmentStmt>       yes      ----                  
b5b567               21       TK_ID              ----            <singleOrRecId>        yes      ----                  
----                 -1       ----               ----            <var>                  no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      ----                  
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <factor>               no       <var>                 
----                 -1       ----               ----            <term>                 no       <factor>              
----                 -1       ----               ----            <arithmeticExpression> no       <term>                
----                 -1       EPS                ----            <termPrime>            yes      ----                  
----                 -1       ----               ----            <term>                 no       <termPrime>           
----                 -1       ----               ----            <assignmentStmt>       no       <arithmeticExpression>
+                    21       TK_PLUS            ----            <lowPrecedenceOperators> yes      ----                  
----                 -1       ----               ----            <expPrime>             no       <lowPrecedenceOperators>
----                 -1       ----               ----            <arithmeticExpression> no       <expPrime>            
1                    21       TK_NUM             1               <var>                  yes      ----                  
----                 -1       ----               ----            <factor>               no       <var>                 
----                 -1       ----               ----            <term>                 no       <factor>              
----                 -1       ----               ----            <expPrime>             no       <term>                
----                 -1       EPS                ----            <termPrime>            yes      ----                  
----                 -1       ----               ----            <term>                 no       <termPrime>           
----                 -1       EPS                ----            <expPrime>             yes      ----                  
----                 -1       ----               ----            <expPrime>             no       <expPrime>            
;                    21       TK_SEM             ----            <assignmentStmt>       yes      ----                  
----                 -1       ----               ----            <otherStmts>           no       <stmt>                
----                 -1       ----               ----            <otherStmts>           no       <otherStmts>          
----                 -1       EPS                ----            <otherStmts>           yes      ----                  
----                 -1       ----               ----            <otherStmts>           no       <otherStmts>          
endwhile             22       TK_ENDWHILE        ----            <iterativeStmt>        yes      ----                  
----                 -1       ----               ----            <otherStmts>           no       <stmt>                
----                 -1       ----               ----            <otherStmts>           no       <otherStmts>          
----                 -1       EPS                ----            <otherStmts>           yes      ----                  
----                 -1       ----               ----            <otherStmts>           no       <otherStmts>          
return               23       TK_RETURN          ----            <returnStmt>           yes      ----                  
----                 -1       ----               ----            <stmts>                no       <returnStmt>          
[                    23       TK_SQL             ----            <optionalReturn>       yes      ----                  
----                 -1       ----               ----            <returnStmt>           no       <optionalReturn>      
d3                   23       TK_ID              ----            <idList>               yes      ----                  
----                 -1       ----               ----            <optionalReturn>       no       <idList>              
----                 -1       EPS                ----            <more_ids>             yes      ----                  
----                 -1       ----               ----            <idList>               no       <more_ids>            
]                    23       TK_SQR             ----            <optionalReturn>       yes      ----                  
;                    23       TK_SEM             ----            <returnStmt>           yes      ----                  
end                  24       TK_END             ----            <function>             yes      ----                  
----                 -1       ----               ----            <program>              no       <otherFunctions>      
----                 -1       EPS                ----            <otherFunctions>       yes      ----                  
----                 -1       ----               ----            <otherFunctions>       no       <otherFunctions>      
----                 -1       ----               ----            ROOT                   no       <program>             
_main                27       TK_MAIN            ----            <mainFunction>         yes      ----                  
----                 -1       ----               ----            <program>              no       <mainFunction>        
record               28       TK_RECORD          ----            <typeDefinition>       yes      ----                  
----                 -1       ----               ----            <actualOrRedefined>    no       <typeDefinition>      
#one                 28       TK_RUID            ----            <typeDefinition>       yes      ----                  
type                 29       TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <fieldDefinition>     
real                 29       TK_REAL            ----            <primitiveDatatype>    yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <primitiveDatatype>   
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    29       TK_COLON           ----            <fieldDefinition>      yes      ----                  
x                    29       TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    29       TK_SEM             ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <typeDefinition>       no       <fieldDefinitions>    
type                 30       TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <fieldDefinition>     
real                 30       TK_REAL            ----            <primitiveDatatype>    yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <primitiveDatatype>   
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    30       TK_COLON           ----            <fieldDefinition>      yes      ----                  
y                    30       TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    30       TK_SEM             ----            <fieldDefinition>      yes      ----                  
----                 -1       EPS                ----            <moreFields>           yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <moreFields>          
endrecord            31       TK_ENDRECORD       ----            <typeDefinition>       yes      ----                  
----                 -1       ----               ----            <typeDefinitions>      no       <actualOrRedefined>   
----                 -1       ----               ----            <stmts>                no       <typeDefinitions>     
definetype           32       TK_DEFINETYPE      ----            <definetypestmt>       yes      ----                  
----                 -1       ----               ----            <actualOrRedefined>    no       <definetypestmt>      
record               32       TK_RECORD          ----            <A>                    yes      ----                  
----                 -1       ----               ----            <definetypestmt>       no       <A>                   
#one                 32       TK_RUID            ----            <definetypestmt>       yes      ----                  
as                   32       TK_AS              ----            <definetypestmt>       yes      ----                  
#point               32       TK_RUID            ----            <definetypestmt>       yes      ----                  
----                 -1       ----               ----            <typeDefinitions>      no       <actualOrRedefined>   
----                 -1       ----               ----            <typeDefinitions>      no       <typeDefinitions>     
definetype           33       TK_DEFINETYPE      ----            <definetypestmt>       yes      ----                  
----                 -1       ----               ----            <actualOrRedefined>    no       <definetypestmt>      
record               33       TK_RECORD          ----            <A>                    yes      ----                  
----                 -1       ----               ----            <definetypestmt>       no       <A>                   
#two                 33       TK_RUID            ----            <definetypestmt>       yes      ----                  
as                   33       TK_AS              ----            <definetypestmt>       yes      ----                  
#line                33       TK_RUID            ----            <definetypestmt>       yes      ----                  
----                 -1       ----               ----            <typeDefinitions>      no       <actualOrRedefined>   
----                 -1       ----               ----            <typeDefinitions>      no       <typeDefinitions>     
union                34       TK_UNION           ----            <typeDefinition>       yes      ----                  
----                 -1       ----               ----            <actualOrRedefined>    no       <typeDefinition>      
#four                34       TK_RUID            ----            <typeDefinition>       yes      ----                  
type                 35       TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <fieldDefinition>     
#line                35       TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <constructedDatatype> 
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    35       TK_COLON           ----            <fieldDefinition>      yes      ----                  
ln                   35       TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    35       TK_SEM             ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <typeDefinition>       no       <fieldDefinitions>    
type                 36       TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <fieldDefinition>     
#point               36       TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <constructedDatatype> 
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    36       TK_COLON           ----            <fieldDefinition>      yes      ----                  
pt                   36       TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    36       TK_SEM             ----            <fieldDefinition>      yes      ----                  
type                 37       TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <moreFields>           no       <fieldDefinition>     
#traingle            37       TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <constructedDatatype> 
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    37       TK_COLON           ----            <fieldDefinition>      yes      ----                  
tr                   37       TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    37       TK_SEM             ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <moreFields>          
----                 -1       EPS                ----            <moreFields>           yes      ----                  
----                 -1       ----               ----            <moreFields>           no       <moreFields>          
endunion             38       TK_ENDUNION        ----            <typeDefinition>       yes      ----                  
----                 -1       ----               ----            <typeDefinitions>      no       <actualOrRedefined>   
----                 -1       ----               ----            <typeDefinitions>      no       <typeDefinitions>     
definetype           39       TK_DEFINETYPE      ----            <definetypestmt>       yes      ----                  
----                 -1       ----               ----            <actualOrRedefined>    no       <definetypestmt>      
