------------------------ PARSE TREE (TABLE FORMAT) ------------------------

lexeme               lineno   tokenName          valueIfNumber   parentNodeSymbol       isLeaf   NodeSymbol            
----------------------------------------------------------------------------------------------
----                 -1       EPS                ----            <otherFunctions>       yes      EPS                   
----                 -1       ----               ----            <program>              no       <otherFunctions>      
----                 -1       ----               ----            ROOT                   no       <program>             
_main                1        TK_MAIN            ----            <mainFunction>         yes      TK_MAIN               
----                 -1       ----               ----            <program>              no       <mainFunction>        
----                 -1       EPS                ----            <typeDefinitions>      yes      EPS                   
----                 -1       ----               ----            <stmts>                no       <typeDefinitions>     
----                 -1       ----               ----            <mainFunction>         no       <stmts>               
type                 2        TK_TYPE            ----            <declaration>          yes      TK_TYPE               
----                 -1       ----               ----            <declarations>         no       <declaration>         
int                  2        TK_INT             ----            <primitiveDatatype>    yes      TK_INT                
----                 -1       ----               ----            <dataType>             no       <primitiveDatatype>   
----                 -1       ----               ----            <declaration>          no       <dataType>            
:                    2        TK_COLON           ----            <declaration>          yes      TK_COLON              
b5                   2        TK_ID              ----            <declaration>          yes      TK_ID                 
----                 -1       EPS                ----            <global_or_not>        yes      EPS                   
----                 -1       ----               ----            <declaration>          no       <global_or_not>       
;                    2        TK_SEM             ----            <declaration>          yes      TK_SEM                
----                 -1       ----               ----            <stmts>                no       <declarations>        
----                 -1       EPS                ----            <declarations>         yes      EPS                   
----                 -1       ----               ----            <declarations>         no       <declarations>        
b5                   3        TK_ID              ----            <singleOrRecId>        yes      TK_ID                 
----                 -1       ----               ----            <assignmentStmt>       no       <singleOrRecId>       
----                 -1       EPS                ----            <optionSingleConstructed> yes      EPS                   
----                 -1       ----               ----            <singleOrRecId>        no       <optionSingleConstructed>
----                 -1       ----               ----            <stmt>                 no       <assignmentStmt>      
<---                 3        TK_ASSIGNOP        ----            <assignmentStmt>       yes      TK_ASSIGNOP           
1                    3        TK_NUM             1               <var>                  yes      TK_NUM                
----                 -1       ----               ----            <factor>               no       <var>                 
----                 -1       ----               ----            <term>                 no       <factor>              
----                 -1       ----               ----            <arithmeticExpression> no       <term>                
----                 -1       EPS                ----            <termPrime>            yes      EPS                   
----                 -1       ----               ----            <term>                 no       <termPrime>           
----                 -1       ----               ----            <assignmentStmt>       no       <arithmeticExpression>
----                 -1       EPS                ----            <expPrime>             yes      EPS                   
----                 -1       ----               ----            <arithmeticExpression> no       <expPrime>            
;                    3        TK_SEM             ----            <assignmentStmt>       yes      TK_SEM                
----                 -1       ----               ----            <otherStmts>           no       <stmt>                
----                 -1       ----               ----            <stmts>                no       <otherStmts>          
----                 -1       EPS                ----            <otherStmts>           yes      EPS                   
----                 -1       ----               ----            <otherStmts>           no       <otherStmts>          
return               4        TK_RETURN          ----            <returnStmt>           yes      TK_RETURN             
----                 -1       ----               ----            <stmts>                no       <returnStmt>          
----                 -1       EPS                ----            <optionalReturn>       yes      EPS                   
----                 -1       ----               ----            <returnStmt>           no       <optionalReturn>      
;                    4        TK_SEM             ----            <returnStmt>           yes      TK_SEM                
end                  5        TK_END             ----            <mainFunction>         yes      TK_END                
